,Age,Community_Building,Country,Gender,Marital_Status,Opinions_on_Censorship,Web_Ordering,Years_on_Internet,Major_Occupation
45,46,3,76,1,1,0,2,0,Other
46,27,2,48,1,0,0,1,2,Professional
47,21,1,33,1,0,3,2,0,Professional
48,13,3,106,1,5,0,2,0,Education
49,18,1,55,1,5,2,1,4,Other
50,34,3,121,1,1,3,2,3,Computer
51,14,1,31,1,5,3,2,3,Education
52,13,3,64,1,5,1,2,2,Education
53,26,3,63,0,0,0,1,4,Other
54,10,1,69,1,5,3,2,1,Education
55,76,1,51,1,5,3,2,0,Computer
56,10,0,122,0,5,3,1,0,Education
57,38,1,61,1,6,0,2,0,Other
58,61,0,2,1,6,0,1,0,Professional
59,35,0,74,1,1,0,1,2,Other
60,18,0,62,0,5,3,2,1,Professional
61,20,1,20,0,1,0,2,1,Management
62,13,1,59,0,5,0,2,1,Professional
63,15,2,122,1,1,3,2,4,Other
64,32,1,69,1,1,3,2,0,Education
65,11,1,41,1,5,3,2,0,Education
66,32,0,74,1,5,0,2,2,Professional
67,11,1,92,0,5,0,2,0,Education
68,18,3,119,1,1,0,1,4,Other
69,13,3,20,1,1,0,2,1,Computer
70,7,1,126,1,5,1,1,4,Education
71,37,1,126,1,0,2,2,2,Other
72,33,1,71,1,5,0,2,3,Computer
73,10,0,61,0,5,0,2,0,Education
74,34,2,41,0,5,0,2,1,Professional
75,28,0,16,1,1,3,2,1,Computer
76,16,3,114,1,5,0,1,0,Education
77,39,0,16,1,5,3,1,1,Management
78,28,3,3,1,1,0,2,1,Computer
79,41,3,122,1,1,0,2,1,Computer
80,39,3,9,0,3,2,2,1,Computer
81,27,0,76,1,1,2,2,1,Computer
82,12,1,118,1,5,3,2,4,Computer
83,40,0,92,0,4,3,1,4,Other
84,24,3,52,0,5,0,1,0,Professional
85,32,3,114,0,4,0,2,1,Other
86,48,3,124,1,0,3,1,2,Professional
87,17,3,127,1,1,1,2,0,Computer
88,20,3,88,1,5,0,2,1,Computer
89,60,0,16,1,1,2,2,0,Other
90,13,3,106,1,5,0,2,1,Education
91,31,3,3,0,1,0,2,0,Management
92,15,2,64,1,5,0,2,1,Computer
93,23,1,6,1,1,3,2,2,Professional
94,33,0,61,1,1,3,2,3,Education
95,35,3,33,1,0,3,2,2,Professional
96,8,1,114,0,5,2,2,0,Management
97,15,3,122,1,5,0,2,1,Computer
98,32,3,21,1,5,0,2,0,Professional
99,43,0,73,1,1,2,2,2,Other
100,24,0,114,1,0,2,2,4,Other
101,5,3,102,0,5,1,0,0,Education
102,44,1,105,1,1,0,2,0,Professional
103,42,3,76,0,1,3,1,4,Other
104,14,0,88,1,5,1,2,0,Education
105,39,0,25,1,1,1,2,1,Professional
106,31,0,16,1,5,0,2,4,Other
107,6,3,105,1,5,0,2,0,Education
108,16,3,60,0,3,0,2,0,Education
109,24,0,33,1,1,0,2,0,Other
110,31,2,122,1,1,0,2,3,Management
111,26,0,113,0,1,0,1,4,Other
112,12,1,76,1,6,0,2,0,Computer
113,33,3,113,1,1,0,1,1,Computer
114,34,1,20,0,0,0,2,0,Education
115,35,0,16,0,1,0,1,4,Education
116,13,3,126,1,5,3,2,0,Education
117,10,1,80,1,5,0,2,0,Education
118,45,3,33,1,1,0,2,4,Other
119,21,3,110,1,1,0,2,2,Professional
120,47,3,60,1,1,3,2,0,Computer
121,8,3,33,1,5,2,2,1,Computer
122,32,1,41,1,1,3,1,0,Professional
123,26,3,62,1,1,0,2,0,Professional
124,7,1,85,0,5,0,2,0,Education
125,25,3,123,1,1,0,2,3,Computer
126,26,3,0,0,1,2,1,1,Computer
127,9,3,9,1,5,2,1,0,Education
128,22,3,41,1,5,0,2,1,Professional
129,12,1,9,1,5,0,2,1,Other
130,8,3,80,0,1,0,2,0,Other
131,36,0,16,1,1,2,2,1,Professional
132,23,3,86,0,1,2,1,4,Professional
133,36,0,59,1,1,0,2,1,Professional
134,28,3,71,0,1,3,2,1,Other
135,44,1,9,0,3,0,2,1,Computer
136,26,1,76,0,0,2,2,0,Management
137,14,3,31,0,3,0,1,0,Education
138,41,3,33,0,1,0,2,0,Other
139,37,1,69,0,5,3,1,0,Management
140,23,3,80,0,5,0,1,1,Computer
141,27,2,45,1,1,0,1,0,Computer
142,47,0,16,1,0,3,2,2,Other
143,5,3,16,1,5,0,1,0,Other
144,24,3,41,1,1,0,2,0,Computer
145,7,3,21,1,5,0,2,0,Education
146,31,3,60,1,1,0,2,3,Professional
147,5,0,60,0,5,2,1,4,Other
148,12,0,59,0,5,0,1,2,Education
149,27,3,43,0,1,0,1,0,Other
150,34,0,76,0,1,0,1,2,Other
151,56,3,16,1,5,3,1,2,Professional
152,30,0,14,1,1,0,2,0,Management
153,32,0,92,0,1,3,2,0,Management
154,16,0,89,1,5,0,2,4,Other
155,32,3,7,0,0,0,2,0,Professional
156,43,0,31,1,0,0,1,4,Management
157,15,0,85,0,1,3,1,1,Education
158,76,3,76,0,0,2,1,2,Other
159,40,0,76,1,0,3,2,2,Professional
160,9,3,65,0,5,1,1,0,Education
161,30,3,99,0,5,0,2,1,Computer
162,21,3,85,1,5,0,2,4,Other
163,24,0,85,1,0,2,1,4,Management
164,20,3,74,0,5,3,1,2,Professional
165,24,1,16,0,5,0,2,4,Other
166,26,3,32,1,5,0,2,3,Computer
167,34,3,1,0,2,0,2,4,Other
168,76,0,31,1,1,0,1,4,Other
169,31,3,99,0,1,3,2,4,Other
170,11,0,74,1,5,2,2,4,Other
171,31,1,76,0,0,0,2,2,Management
172,37,3,33,0,1,3,2,4,Other
173,36,3,31,0,0,0,2,4,Other
174,9,3,61,0,5,0,1,0,Education
175,35,3,76,1,4,0,2,4,Professional
176,66,1,74,1,6,0,2,2,Management
177,7,3,41,1,5,2,2,2,Education
178,44,0,114,1,1,0,2,4,Management
179,20,3,31,1,1,0,2,2,Computer
180,29,3,16,1,1,3,2,1,Computer
181,41,1,54,1,1,0,2,1,Management
182,32,3,92,0,1,1,1,1,Professional
183,22,0,16,0,5,3,1,2,Professional
184,41,0,114,1,3,0,2,2,Professional
185,31,0,76,0,3,0,1,0,Other
186,36,1,92,1,1,0,1,2,Professional
187,38,0,16,0,1,0,2,2,Other
188,30,0,62,1,0,0,2,2,Professional
189,41,3,31,1,1,3,2,2,Professional
190,17,3,71,0,1,3,2,1,Education
191,42,0,92,0,1,0,2,2,Other
192,24,3,16,0,1,0,2,3,Professional
193,12,1,30,0,3,3,2,0,Education
194,54,0,76,1,1,2,2,1,Computer
195,22,3,33,0,5,0,2,1,Computer
196,18,0,88,0,5,0,1,2,Education
197,17,1,76,1,4,1,2,3,Management
198,21,0,121,0,5,1,2,0,Education
199,41,3,52,1,1,0,2,1,Management
200,39,3,74,0,0,3,2,0,Professional
201,16,1,9,0,1,3,1,0,Other
202,32,3,114,1,1,0,1,0,Management
203,9,3,113,0,5,0,1,4,Computer
204,36,0,71,1,1,0,1,2,Other
205,30,3,16,0,4,3,2,2,Other
206,18,0,85,0,1,3,2,0,Management
207,52,1,114,0,1,0,1,4,Other
208,43,3,122,1,5,0,2,0,Computer
209,25,0,33,1,3,0,1,4,Other
210,54,0,74,1,0,1,2,2,Management
211,38,0,20,1,1,0,1,4,Management
212,28,3,55,1,1,2,2,4,Professional
213,44,3,73,1,1,0,2,4,Other
214,18,3,16,1,3,1,2,4,Professional
215,37,0,21,1,1,0,2,2,Other
216,76,0,3,1,4,3,1,4,Professional
217,26,3,33,1,1,0,2,4,Other
218,31,1,41,0,1,0,1,2,Other
219,5,1,119,1,5,0,1,2,Education
220,74,1,31,1,1,3,1,2,Other
221,19,1,16,0,1,3,2,0,Computer
222,35,3,85,1,1,3,2,2,Professional
223,49,2,80,1,1,1,1,2,Other
224,16,1,33,1,5,0,2,0,Education
225,13,1,33,0,3,1,2,1,Professional
226,24,1,123,1,5,0,2,0,Other
227,25,3,76,1,0,0,2,3,Management
228,22,1,88,1,4,3,2,2,Professional
229,46,0,31,1,5,1,1,4,Other
230,48,3,113,1,3,0,2,0,Professional
231,11,3,92,0,5,3,2,1,Education
232,25,3,1,0,1,0,2,0,Other
233,20,0,111,0,5,1,1,1,Education
234,10,3,89,0,3,0,2,1,Computer
235,21,0,31,1,5,0,2,4,Other
236,43,0,16,0,0,2,2,4,Professional
237,42,1,89,1,1,0,2,0,Computer
238,14,2,41,1,5,0,1,1,Professional
239,25,2,45,1,5,3,2,2,Education
240,34,0,114,0,1,0,2,0,Professional
241,37,3,63,1,1,0,2,0,Management
242,17,1,69,1,5,2,2,1,Education
243,14,1,20,1,1,0,2,1,Professional
244,7,1,126,1,5,0,2,2,Education
245,22,3,59,1,1,1,1,0,Education
246,31,0,65,0,1,0,1,4,Professional
247,16,1,89,0,5,0,2,1,Education
248,29,0,62,0,3,0,2,0,Management
249,45,1,31,1,1,1,1,0,Professional
250,35,0,59,0,0,0,2,2,Other
251,17,0,123,0,1,1,1,0,Professional
252,16,3,3,1,1,0,2,1,Computer
253,9,0,77,1,5,2,2,0,Other
254,76,2,31,0,1,0,2,1,Computer
255,31,0,6,1,5,0,2,0,Education
256,45,0,122,0,3,0,2,0,Management
257,32,3,16,0,1,0,2,0,Education
258,38,0,43,1,1,0,1,2,Other
259,33,0,43,1,1,0,2,3,Other
260,20,1,11,1,3,3,2,4,Management
261,15,3,18,1,5,3,1,0,Computer
262,30,3,80,1,0,0,1,3,Management
263,53,3,59,1,1,0,1,2,Professional
264,40,0,61,1,3,0,2,4,Other
265,45,3,31,1,1,0,1,4,Computer
266,24,0,16,0,1,1,2,1,Management
267,11,0,122,0,5,1,1,1,Education
268,14,3,108,1,5,0,2,1,Computer
269,25,0,124,0,5,3,1,2,Professional
270,19,1,16,1,5,2,2,2,Management
271,55,3,33,1,1,0,2,0,Professional
272,17,0,85,1,1,0,2,4,Other
273,43,0,114,0,6,0,2,0,Education
274,32,3,31,1,4,0,2,4,Professional
275,43,3,31,0,1,3,2,0,Management
276,15,0,88,0,1,3,1,0,Education
277,27,3,85,1,5,3,2,1,Computer
278,13,3,41,1,5,0,2,1,Professional
279,61,1,6,1,6,3,2,4,Other
280,17,3,9,0,5,3,2,1,Management
281,76,3,71,1,0,0,2,0,Other
282,76,1,89,1,5,3,2,0,Education
283,34,0,92,1,1,1,2,0,Professional
284,39,0,114,0,6,2,1,4,Other
285,43,1,126,1,1,3,1,4,Professional
286,23,1,41,0,1,0,2,4,Professional
287,33,3,89,1,0,0,2,4,Other
288,13,0,16,0,1,1,2,2,Other
289,33,3,9,1,1,0,2,2,Professional
290,47,0,16,1,1,0,1,2,Management
291,13,3,124,0,6,1,2,1,Computer
292,6,3,58,0,5,0,1,1,Education
293,13,2,113,1,5,3,2,0,Management
294,21,3,99,1,1,1,1,4,Other
295,41,0,56,0,1,0,1,2,Education
296,32,3,64,1,0,2,2,0,Professional
297,30,0,6,1,1,3,2,1,Professional
298,7,0,76,1,5,2,1,0,Education
299,62,1,62,1,1,0,2,4,Professional
300,38,1,89,0,0,2,2,0,Professional
301,36,3,31,0,0,3,2,2,Other
302,42,3,37,1,1,0,2,1,Professional
303,9,3,89,1,5,0,2,1,Education
304,27,1,1,0,3,0,0,2,Other
305,17,1,74,0,1,0,1,2,Other
306,36,3,88,1,1,3,2,3,Education
307,28,3,124,0,4,1,2,1,Computer
308,33,2,16,1,5,0,1,0,Professional
309,35,0,114,1,0,3,2,2,Other
310,30,0,92,0,5,0,2,1,Computer
311,21,0,20,0,1,2,1,4,Computer
312,6,1,73,1,2,1,2,2,Education
313,14,0,68,0,5,2,2,4,Other
314,14,0,123,0,5,2,1,0,Computer
315,14,3,43,1,5,1,2,2,Other
316,27,3,122,1,1,0,2,0,Education
317,4,0,33,0,5,3,1,4,Education
318,34,3,76,0,3,0,1,4,Management
319,17,3,69,1,0,1,2,1,Management
320,18,3,69,1,3,1,2,3,Computer
321,33,3,34,1,0,0,2,2,Computer
322,23,2,16,1,1,0,2,1,Professional
323,53,3,89,1,1,0,2,4,Other
324,41,3,125,1,5,2,2,4,Computer
325,21,1,114,1,1,3,2,3,Computer
326,38,0,122,1,2,3,2,4,Professional
327,29,1,1,0,1,0,1,0,Other
328,56,0,76,1,1,0,1,4,Other
329,13,1,33,1,5,0,2,2,Other
330,13,0,88,1,5,0,2,0,Education
331,18,0,51,1,3,0,2,1,Other
332,18,3,69,1,5,1,2,1,Computer
333,28,1,80,1,3,0,2,0,Management
334,14,1,61,1,1,0,1,1,Computer
335,18,1,13,1,5,0,2,0,Education
336,20,3,118,1,5,0,2,2,Computer
337,14,3,123,0,2,0,2,1,Other
338,46,0,76,1,1,0,1,2,Professional
339,25,3,76,1,1,3,2,0,Management
340,56,0,31,1,1,2,1,4,Other
341,32,3,69,1,1,1,2,4,Professional
342,15,3,113,1,3,0,2,2,Professional
343,45,0,31,1,1,0,1,0,Management
344,19,3,74,0,5,0,2,1,Computer
345,76,1,62,1,5,0,2,2,Professional
346,17,3,1,1,5,3,2,0,Professional
347,33,3,73,1,1,3,2,1,Professional
348,6,0,76,1,5,2,1,0,Education
349,17,0,72,0,5,0,2,1,Professional
350,76,0,33,0,1,2,2,4,Other
351,10,0,33,0,5,3,1,0,Education
352,8,0,9,0,2,2,1,2,Other
353,31,3,61,1,1,1,2,0,Professional
354,28,0,59,1,1,0,1,0,Professional
355,20,3,89,1,1,0,2,1,Computer
356,24,3,98,1,1,3,1,0,Professional
357,8,3,125,0,1,0,1,4,Education
358,20,3,43,1,1,1,2,0,Professional
359,53,0,33,0,1,3,2,0,Management
360,20,1,92,1,5,1,2,3,Management
361,15,3,88,1,5,0,1,0,Computer
362,48,3,90,1,1,3,2,0,Management
363,49,3,31,1,1,3,2,0,Education
364,14,3,126,0,5,0,2,1,Professional
365,40,1,92,0,5,3,1,2,Management
366,44,0,14,0,0,1,1,4,Other
367,9,1,31,1,3,0,2,0,Education
368,76,3,123,0,1,0,2,4,Management
369,18,0,118,1,5,2,1,4,Computer
370,24,0,88,1,1,1,1,4,Management
371,29,3,43,0,0,2,2,0,Professional
372,59,3,114,1,1,0,1,2,Professional
373,16,1,76,1,5,3,1,2,Management
374,41,3,43,0,1,0,2,0,Other
375,22,1,59,0,5,0,2,4,Professional
376,44,1,20,1,1,1,1,3,Computer
377,45,0,16,0,1,0,2,4,Other
378,23,1,19,1,1,3,2,0,Management
379,16,3,9,1,1,0,2,4,Management
380,35,3,31,1,3,1,2,2,Other
381,12,3,119,0,3,0,2,0,Education
382,56,1,89,1,0,3,2,0,Professional
383,28,3,16,1,5,1,2,0,Management
384,50,0,16,1,1,0,2,1,Education
385,19,3,16,0,1,0,1,4,Other
386,63,1,60,1,1,1,2,2,Other
387,18,3,33,0,5,2,2,1,Management
388,20,0,114,0,3,2,1,4,Management
389,27,1,88,0,1,0,2,0,Computer
390,17,3,16,0,5,0,2,0,Management
391,27,3,64,1,3,0,2,0,Management
392,23,1,126,1,1,0,2,4,Management
393,10,3,62,0,5,3,1,0,Education
394,24,0,99,0,3,0,1,4,Other
395,18,0,36,1,5,0,2,4,Management
396,20,1,50,1,5,0,2,3,Professional
397,33,1,104,1,1,0,2,1,Computer
398,65,0,16,1,1,3,2,2,Management
399,32,0,76,1,5,2,2,0,Professional
400,27,1,32,1,0,3,1,0,Management
401,76,3,61,0,2,0,2,0,Education
402,41,0,105,1,1,3,2,0,Management
403,39,3,56,0,1,0,2,3,Other
404,22,3,105,1,0,1,2,4,Other
405,25,3,41,0,1,0,2,0,Professional
406,19,3,92,0,5,0,1,4,Other
407,13,3,114,1,1,3,1,2,Other
408,15,0,122,1,5,0,2,1,Education
409,21,3,126,0,1,2,1,1,Professional
410,26,3,88,0,1,3,1,4,Professional
411,46,0,61,1,1,3,2,2,Other
412,25,3,9,1,1,2,2,0,Education
413,46,3,16,1,0,2,1,4,Other
414,32,3,43,0,1,2,2,1,Education
415,20,1,95,1,5,0,2,0,Professional
416,63,0,31,1,1,1,2,4,Other
417,53,0,59,0,5,2,2,4,Professional
418,35,0,62,0,1,0,1,2,Other
419,29,1,1,0,1,0,2,0,Education
420,5,3,124,1,5,0,2,1,Education
421,55,3,16,1,0,3,2,0,Other
422,37,1,95,1,1,0,2,1,Education
423,16,3,76,1,1,3,2,3,Other
424,25,3,76,1,5,0,2,2,Other
425,29,3,92,1,3,1,2,2,Professional
426,14,3,41,0,1,0,2,1,Professional
427,13,0,61,1,5,0,2,0,Computer
428,14,3,52,1,1,0,1,2,Management
429,29,0,33,1,0,3,1,4,Other
430,19,3,16,1,1,0,2,1,Computer
431,26,3,92,0,1,0,2,4,Other
432,10,3,76,0,5,3,2,1,Education
433,28,3,20,1,5,0,2,2,Other
434,18,3,76,0,1,1,2,0,Professional
435,18,0,75,0,5,3,2,1,Education
436,17,3,114,1,3,0,2,3,Computer
437,33,3,6,0,4,0,2,1,Computer
438,35,3,76,1,1,0,2,0,Computer
439,8,1,89,1,5,3,1,0,Computer
440,35,1,114,0,1,3,2,4,Other
441,33,3,6,1,0,3,1,2,Management
442,11,0,118,1,5,3,1,4,Education
443,27,0,61,1,5,2,2,0,Management
444,23,3,90,0,3,1,2,0,Other
445,25,3,123,1,3,2,2,0,Computer
446,52,1,40,1,0,0,1,0,Professional
447,42,3,16,1,1,0,2,3,Management
448,11,3,76,1,5,0,2,0,Education
449,27,0,31,0,0,3,1,2,Professional
450,11,0,119,1,5,3,2,2,Other
451,33,3,114,1,1,0,2,3,Professional
452,76,3,16,1,0,3,1,4,Management
453,16,3,88,1,5,0,2,0,Computer
454,27,0,59,1,1,0,2,1,Management
455,39,3,16,1,1,0,2,1,Professional
456,15,0,9,1,3,0,2,0,Management
457,9,0,69,1,5,0,1,0,Education
458,69,0,31,1,1,0,2,4,Other
459,16,0,76,1,5,2,2,1,Education
460,27,1,122,1,1,0,2,3,Management
461,32,0,20,1,1,0,1,0,Management
462,16,3,85,0,5,0,1,2,Professional
463,28,3,122,1,5,0,2,2,Other
464,8,0,126,0,5,2,1,0,Education
465,11,1,76,0,5,2,2,1,Education
466,28,0,41,0,1,3,0,1,Other
467,22,3,16,1,1,0,2,0,Computer
468,14,3,92,1,5,3,2,3,Computer
469,22,3,31,0,0,2,2,0,Computer
470,28,2,16,0,0,1,1,0,Other
471,13,1,122,0,5,3,2,0,Education
472,41,1,36,1,1,3,2,4,Management
473,21,3,45,0,2,3,1,4,Computer
474,12,0,118,1,5,1,2,0,Computer
475,27,3,122,1,1,1,2,3,Professional
476,24,3,33,1,1,1,2,1,Professional
477,48,1,31,1,1,0,2,0,Other
478,39,3,10,1,1,0,2,1,Computer
479,33,3,62,0,1,3,2,3,Education
480,46,0,43,1,1,0,2,0,Other
481,43,3,123,1,1,0,2,0,Management
482,41,1,31,1,0,0,2,0,Education
483,8,1,92,0,5,0,2,0,Education
484,9,3,77,1,5,0,2,0,Computer
485,23,1,88,1,1,0,1,1,Computer
486,24,3,42,1,1,0,2,0,Computer
487,47,3,16,0,6,0,2,4,Management
488,14,3,16,0,5,0,1,3,Education
489,19,1,69,0,3,1,2,0,Management
490,42,2,80,0,1,1,2,0,Professional
491,20,3,33,0,3,3,2,2,Professional
492,18,3,88,1,5,1,2,1,Computer
493,30,1,9,1,3,3,2,2,Management
494,7,1,9,1,5,0,1,2,Education
495,18,3,61,1,1,3,2,0,Computer
496,9,1,121,1,5,3,2,1,Computer
497,17,3,59,0,5,0,1,0,Professional
498,14,0,61,0,5,1,1,1,Professional
499,30,0,105,1,5,0,1,2,Professional
500,74,3,16,1,5,0,2,2,Other
501,37,3,16,1,1,0,2,0,Computer
502,19,3,118,1,1,0,2,0,Computer
503,32,1,88,0,1,1,2,1,Management
504,45,3,16,0,5,3,1,4,Education
505,31,1,6,0,5,2,1,0,Professional
506,18,1,61,1,5,0,2,1,Computer
507,64,1,75,0,0,2,1,2,Other
508,36,3,21,1,1,0,2,1,Management
509,10,3,6,1,5,3,1,0,Education
510,15,0,7,1,5,1,1,2,Professional
511,14,3,114,1,1,1,2,1,Professional
512,19,3,9,1,3,0,2,0,Other
513,25,3,67,1,1,3,2,1,Education
514,27,3,74,1,5,0,1,0,Computer
515,16,3,118,1,5,1,2,0,Education
516,40,0,92,0,6,0,2,2,Professional
517,76,3,16,0,1,0,2,0,Management
518,35,3,74,1,3,0,2,0,Other
519,27,1,106,1,1,2,2,4,Other
520,13,1,114,0,5,0,2,1,Management
521,12,0,33,0,5,0,2,0,Management
522,54,0,25,1,1,0,2,0,Professional
523,7,3,16,1,5,0,2,1,Education
524,65,0,60,1,1,0,2,2,Other
525,25,3,123,0,1,0,2,0,Computer
526,76,0,123,0,2,0,2,2,Professional
527,33,3,60,1,5,0,2,2,Other
528,58,0,61,0,6,3,2,2,Other
529,8,0,76,0,5,1,1,4,Education
530,15,1,41,0,1,0,1,4,Education
531,16,1,33,0,5,0,2,0,Education
532,8,0,33,0,5,0,1,4,Education
533,20,3,9,0,4,3,2,0,Management
534,54,3,114,1,1,0,2,4,Other
535,35,3,33,1,5,0,2,0,Professional
536,37,2,41,0,1,0,2,2,Other
537,29,3,89,1,5,3,2,4,Other
538,21,3,76,0,1,0,1,0,Other
539,52,1,76,1,1,0,2,2,Other
540,11,1,92,1,5,3,2,1,Education
541,33,3,59,0,0,0,2,2,Computer
542,30,3,123,0,0,0,2,0,Other
543,35,3,31,0,4,3,2,4,Professional
544,42,3,33,0,0,1,2,0,Professional
545,32,0,20,1,5,1,1,2,Other
546,16,3,32,1,3,1,1,0,Education
547,36,3,114,1,0,0,2,0,Professional
548,18,1,110,1,3,1,2,3,Computer
549,17,1,16,1,1,1,2,1,Computer
550,16,1,123,1,1,3,2,0,Education
551,14,1,92,1,1,0,2,2,Professional
552,13,0,114,1,1,0,2,1,Education
553,58,0,5,1,0,2,2,0,Computer
554,12,3,42,1,5,2,1,0,Computer
555,41,3,21,0,1,3,2,1,Professional
556,12,1,41,0,5,0,1,1,Education
557,34,3,16,1,4,1,2,0,Management
558,65,0,61,1,1,1,1,4,Professional
559,16,2,20,1,3,3,2,0,Computer
560,7,3,76,1,5,1,2,0,Computer
561,13,0,76,1,5,0,1,0,Professional
562,16,1,33,1,3,1,2,1,Education
563,19,3,86,0,1,1,1,0,Management
564,24,0,123,0,1,0,2,0,Other
565,38,3,16,1,0,0,2,1,Management
566,21,0,47,1,1,1,2,1,Computer
567,16,0,20,1,5,2,2,2,Computer
568,25,3,31,1,1,1,2,0,Professional
569,46,0,125,0,6,0,2,4,Management
570,39,3,88,0,1,3,2,0,Computer
571,26,2,59,1,3,0,2,1,Management
572,13,0,113,1,1,0,2,0,Education
573,26,0,85,1,1,3,2,0,Computer
574,12,0,76,1,5,0,2,1,Computer
575,18,1,16,1,5,0,2,0,Computer
576,22,3,46,0,1,0,1,2,Computer
577,19,3,62,1,1,0,2,1,Computer
578,32,0,33,0,1,0,2,2,Professional
579,40,1,114,1,1,0,2,0,Professional
580,29,3,126,1,1,1,2,2,Other
581,54,3,89,0,0,0,1,2,Other
582,14,3,126,1,5,2,2,2,Education
583,34,1,125,0,1,0,2,3,Education
584,25,3,104,1,1,0,2,1,Education
585,6,3,33,0,5,2,1,0,Other
586,17,0,16,0,3,1,1,0,Education
587,14,3,20,1,5,2,1,4,Professional
588,14,3,92,1,5,0,2,0,Other
589,76,0,16,0,2,0,1,4,Professional
590,42,3,31,1,1,3,2,2,Other
591,36,0,74,1,0,0,2,2,Other
592,27,0,60,0,5,0,2,2,Other
593,18,3,62,1,5,0,2,0,Computer
594,8,0,114,0,5,0,1,4,Education
595,17,0,16,1,5,3,1,1,Computer
596,19,3,122,0,1,3,1,1,Computer
597,20,1,31,1,1,0,2,0,Computer
598,17,3,9,0,5,2,2,0,Education
599,10,1,9,0,5,3,1,2,Professional
600,17,3,88,1,1,0,2,1,Education
601,36,3,114,1,1,0,2,2,Other
602,16,3,68,1,5,3,2,0,Other
603,34,3,16,1,1,0,2,0,Management
604,19,3,76,1,5,0,2,0,Professional
605,45,0,56,0,1,1,1,0,Education
606,27,3,16,0,5,3,2,4,Professional
607,39,1,30,1,1,3,2,1,Computer
608,60,0,80,0,1,0,1,2,Other
609,32,1,16,0,5,1,1,3,Computer
610,14,0,114,1,5,0,2,4,Education
611,24,1,125,0,1,3,1,0,Professional
612,30,1,118,1,1,1,2,0,Professional
613,76,0,33,0,1,2,1,0,Education
614,76,0,85,1,1,0,1,0,Management
615,16,1,51,1,5,0,2,4,Computer
616,50,3,33,0,1,1,2,0,Other
617,23,0,20,1,4,1,2,0,Computer
618,30,2,1,0,1,3,2,2,Computer
619,21,3,77,0,5,2,2,0,Professional
620,11,0,9,1,5,1,1,4,Management
621,49,0,41,1,1,1,2,2,Other
622,23,3,55,1,1,0,2,0,Professional
623,20,3,33,1,1,3,2,1,Computer
624,8,1,61,0,5,1,1,0,Education
625,18,3,33,0,1,0,1,2,Computer
626,15,0,108,1,5,0,1,4,Computer
627,17,3,86,0,5,3,2,0,Professional
628,16,3,76,0,5,0,2,1,Professional
629,26,3,14,0,4,1,2,0,Computer
630,35,1,16,1,1,1,2,1,Computer
631,54,0,33,0,1,0,2,0,Other
632,26,1,33,1,1,3,2,1,Computer
633,13,3,33,0,5,1,2,2,Management
634,29,0,86,0,0,2,2,0,Computer
635,59,0,16,0,0,2,1,2,Other
636,10,0,85,0,5,0,1,0,Education
637,76,0,64,1,1,2,2,0,Education
638,20,0,41,1,1,1,2,1,Computer
639,13,0,31,1,3,0,2,0,Other
640,15,1,113,1,5,3,2,0,Education
641,33,3,88,1,1,0,2,3,Education
642,17,0,123,1,5,0,2,2,Other
643,17,0,31,0,0,3,2,0,Management
644,36,0,16,0,5,0,2,2,Other
645,17,1,76,0,5,3,2,2,Management
646,36,1,59,1,1,0,2,0,Computer
