,Age,Country,Actual_Time,Primary_Computing_Platform,Marital_Status,Primary_Place_of_WWW_Access,Who_Pays_for_Access_Parents,Willingness_to_Pay_Fees,Household_Income,Who_Pays_for_Access_School,Education_Attainment
60,18,62,2,10,5,5,0,3,5,0,Masters
61,20,20,27,10,1,4,0,6,4,0,Some_College
62,13,59,14,10,5,5,0,4,7,0,College
63,15,122,42,10,1,2,0,1,0,0,High_School
64,32,69,23,10,1,2,0,1,0,0,Masters
65,11,41,13,10,5,5,0,0,4,1,Some_College
66,32,74,34,11,5,2,0,0,2,0,Some_College
67,11,92,13,11,5,4,0,0,3,1,Some_College
68,18,119,15,5,1,7,0,4,3,1,Some_College
69,13,20,34,3,1,5,0,6,4,0,Some_College
70,7,126,24,10,5,2,1,1,4,0,High_School
71,37,126,34,10,0,2,0,1,2,0,College
72,33,71,34,8,5,5,0,6,6,0,Some_College
73,10,61,13,3,5,5,0,1,4,1,Some_College
74,34,41,40,10,5,5,0,4,4,0,College
75,28,16,37,0,1,4,0,3,6,0,College
76,16,114,13,3,5,4,0,4,0,0,College
77,39,16,7,3,5,5,0,4,7,0,College
78,28,3,34,10,1,8,0,4,1,0,College
79,41,122,21,3,1,4,0,4,7,0,Masters
80,39,9,34,3,3,5,0,0,4,0,Special
81,27,76,37,4,1,5,0,6,7,0,College
82,12,118,34,3,5,2,0,2,1,0,College
83,40,92,20,0,4,2,0,0,8,0,Some_College
84,24,52,33,10,5,5,0,0,7,0,Masters
85,32,114,1,0,4,4,0,5,2,0,High_School
86,48,124,36,11,0,2,0,1,3,0,Professional
87,17,127,37,11,1,8,0,4,4,0,Some_College
88,20,88,37,10,5,4,0,3,2,0,College
89,60,16,39,10,1,2,0,0,4,0,Masters
90,13,106,13,10,5,4,0,4,0,0,Some_College
91,31,3,7,11,1,2,0,0,1,0,Special
92,15,64,21,10,5,4,0,3,3,0,Masters
93,23,6,34,0,1,4,0,1,1,0,High_School
94,33,61,12,3,1,5,0,6,6,0,Doctoral
95,35,33,34,0,0,2,0,4,4,0,Some_College
96,8,114,27,10,5,4,1,0,7,0,High_School
97,15,122,34,10,5,5,0,4,3,0,Masters
98,32,21,6,0,5,4,0,6,2,0,College
99,43,73,42,0,1,5,0,4,4,0,High_School
100,24,114,34,0,0,2,0,2,1,0,Some_College
101,5,102,24,10,5,4,1,5,5,0,Grammar
102,44,105,43,10,1,4,0,0,4,0,Some_College
103,42,76,20,0,1,2,0,0,6,0,High_School
104,14,88,13,10,5,4,0,1,8,1,College
105,39,25,17,3,1,5,0,4,7,0,Doctoral
106,31,16,10,0,5,2,0,0,2,0,Some_College
107,6,105,24,10,5,2,0,0,6,0,Grammar
108,16,60,13,3,3,2,0,4,4,0,Some_College
109,24,33,42,10,1,2,0,0,6,0,Special
110,31,122,7,10,1,5,0,6,7,1,Doctoral
111,26,113,20,0,1,2,0,0,3,0,High_School
112,12,76,34,0,6,4,0,0,1,0,Some_College
113,33,113,34,3,1,2,0,1,8,0,Some_College
114,34,20,13,10,0,4,0,4,1,1,College
115,35,16,23,0,1,2,0,0,4,0,College
116,13,126,13,10,5,4,0,4,3,1,Some_College
117,10,80,13,10,5,5,0,4,8,1,Some_College
118,45,33,34,0,1,5,0,0,1,0,Some_College
119,21,110,34,4,1,8,0,6,3,0,Masters
120,47,60,37,10,1,4,0,4,4,0,Some_College
121,8,33,37,10,5,5,1,4,6,0,Some_College
122,32,41,36,3,1,2,0,1,7,0,Professional
123,26,62,36,3,1,2,0,3,4,0,Professional
124,7,85,13,10,5,2,0,1,6,0,Some_College
125,25,123,34,10,1,5,0,6,7,0,Masters
126,26,0,34,10,1,8,0,4,6,0,Masters
127,9,9,13,10,5,2,0,4,6,1,Some_College
128,22,41,5,10,5,5,0,4,4,0,Professional
129,12,9,10,11,5,8,0,0,1,0,College
130,8,80,20,10,1,2,0,1,0,0,High_School
131,36,16,17,3,1,2,0,0,7,0,Masters
132,23,86,34,0,1,2,0,3,2,0,Special
133,36,59,17,11,1,4,0,1,5,0,Masters
134,28,71,34,3,1,4,0,4,7,0,College
135,44,9,21,10,3,5,0,4,4,0,College
136,26,76,34,10,0,5,0,4,4,0,Professional
137,14,31,34,10,3,8,0,0,2,0,College
138,41,33,20,11,1,2,0,0,6,0,High_School
139,37,69,41,10,5,4,0,0,2,0,Masters
140,23,80,34,3,5,5,0,4,0,0,College
141,27,45,37,10,1,2,0,0,0,0,Some_College
142,47,16,42,0,0,2,0,4,1,0,Some_College
143,5,16,34,0,5,4,1,1,5,0,Grammar
144,24,41,21,3,1,5,0,0,5,0,Doctoral
145,7,21,24,10,5,4,0,4,6,0,High_School
146,31,60,17,3,1,8,0,1,5,0,College
147,5,60,16,10,5,2,1,0,6,0,High_School
148,12,59,13,11,5,7,0,4,4,1,Some_College
149,27,43,42,10,1,4,0,4,2,0,High_School
150,34,76,34,0,1,2,0,0,1,0,Some_College
151,56,16,36,0,5,2,0,4,6,0,Professional
152,30,14,44,10,1,5,0,4,5,0,College
153,32,92,34,10,1,2,0,4,3,0,High_School
154,16,89,26,0,5,2,0,4,6,0,High_School
155,32,7,33,10,0,4,0,0,3,0,College
156,43,31,7,0,0,4,0,2,7,0,College
157,15,85,13,10,1,4,0,1,0,1,College
158,76,76,15,0,0,2,0,4,2,0,Some_College
159,40,76,17,0,0,2,0,0,2,0,High_School
160,9,65,13,10,5,4,1,4,4,0,Some_College
161,30,99,34,10,5,2,0,0,5,0,Masters
162,21,85,42,0,5,2,0,0,1,0,Some_College
163,24,85,27,0,0,2,0,0,2,0,Grammar
164,20,74,34,10,5,1,0,1,2,0,College
165,24,16,42,0,5,2,0,0,0,0,Some_College
166,26,32,34,4,5,4,0,0,3,0,High_School
167,34,1,19,0,2,2,0,2,4,0,Some_College
168,76,31,39,0,1,2,0,4,7,0,College
169,31,99,20,0,1,2,0,4,4,0,Some_College
170,11,74,34,0,5,2,0,0,1,0,Other
171,31,76,27,10,0,2,0,0,2,0,Some_College
172,37,33,1,10,1,8,0,4,6,0,High_School
173,36,31,34,0,0,2,0,4,1,0,Some_College
174,9,61,13,10,5,4,1,4,4,0,Some_College
175,35,76,33,0,4,2,0,0,4,0,Professional
176,66,74,27,0,6,2,0,0,4,0,College
177,7,41,24,0,5,7,0,4,5,0,High_School
178,44,114,41,10,1,8,0,4,4,0,Some_College
179,20,31,34,0,1,4,0,1,2,0,Some_College
180,29,16,37,10,1,5,0,4,5,0,Some_College
181,41,54,8,4,1,2,0,0,7,0,Professional
182,32,92,6,10,1,5,0,5,4,0,College
183,22,16,18,11,5,4,0,0,1,0,Some_College
184,41,114,34,10,3,4,0,0,4,0,College
185,31,76,1,1,3,8,0,2,4,0,Some_College
186,36,92,34,0,1,2,0,0,6,0,Masters
187,38,16,20,0,1,2,0,3,6,0,Some_College
188,30,62,40,0,0,2,0,4,4,0,College
189,41,31,40,0,1,4,0,4,6,0,College
190,17,71,13,4,1,4,0,4,4,0,College
191,42,92,20,0,1,2,0,0,6,0,High_School
192,24,16,45,10,1,2,0,2,7,0,Masters
193,12,30,13,3,3,7,0,4,8,1,College
194,54,76,34,10,1,4,0,1,5,0,College
195,22,33,34,0,5,4,0,0,1,0,Some_College
196,18,88,23,10,5,3,0,4,2,0,College
197,17,76,27,10,4,5,0,4,4,0,Professional
198,21,121,13,10,5,2,0,4,8,0,Some_College
199,41,52,27,3,1,5,0,0,5,0,Masters
200,39,74,5,0,0,4,0,6,4,0,Masters
201,16,9,34,4,1,4,0,4,6,0,College
202,32,114,7,10,1,5,0,4,7,0,Some_College
203,9,113,34,10,5,7,0,6,5,1,Other
204,36,71,39,0,1,2,0,4,1,0,Some_College
205,30,16,20,10,4,2,0,1,6,0,Masters
206,18,85,27,10,1,4,0,3,4,0,Masters
207,52,114,34,10,1,2,0,4,4,0,Some_College
208,43,122,34,10,5,8,0,3,3,0,Some_College
209,25,33,10,0,3,2,0,4,2,0,College
210,54,74,27,0,0,2,0,4,6,0,High_School
211,38,20,34,0,1,2,0,0,4,0,Special
212,28,55,34,0,1,2,0,0,3,0,High_School
213,44,73,34,0,1,2,0,0,3,0,Some_College
214,18,16,1,0,3,2,0,0,0,0,Some_College
215,37,21,34,0,1,2,0,3,7,0,College
216,76,3,19,0,4,2,0,0,2,0,Other
217,26,33,34,0,1,2,0,0,4,0,Special
218,31,41,20,0,1,2,0,0,7,0,Masters
219,5,119,24,10,5,2,1,4,4,0,High_School
220,74,31,39,0,1,2,0,0,1,0,Some_College
221,19,16,34,10,1,5,0,0,3,0,High_School
222,35,85,34,10,1,5,0,2,5,0,Masters
223,49,80,39,0,1,2,0,0,1,0,Some_College
224,16,33,23,3,5,2,0,0,1,0,Masters
225,13,33,5,2,3,5,0,0,8,1,College
226,24,123,29,0,5,4,0,0,1,0,Some_College
227,25,76,27,10,0,5,0,4,5,0,Masters
228,22,88,0,10,4,5,0,6,7,0,Masters
229,46,31,39,0,5,2,0,0,6,0,Some_College
230,48,113,6,10,3,2,0,4,4,0,Some_College
231,11,92,13,4,5,5,1,4,8,1,Some_College
232,25,1,20,10,1,2,0,3,6,0,College
233,20,111,34,10,5,8,0,4,2,0,Masters
234,10,89,30,4,3,4,0,1,4,0,College
235,21,31,42,0,5,2,0,0,1,0,Special
236,43,16,15,0,0,2,0,4,3,0,Masters
237,42,89,34,10,1,5,0,4,4,0,College
238,14,41,14,11,5,4,0,4,3,0,Masters
239,25,45,23,0,5,4,0,4,2,0,Masters
240,34,114,14,10,1,3,0,0,7,0,Some_College
241,37,63,27,10,1,2,0,4,4,0,Special
242,17,69,13,10,5,2,0,0,8,0,Professional
243,14,20,5,10,1,4,0,4,1,1,Professional
244,7,126,24,3,5,4,1,7,2,0,High_School
245,22,59,23,10,1,4,0,0,5,0,Masters
246,31,65,1,10,1,2,0,4,0,0,Some_College
247,16,89,13,10,5,4,0,4,1,0,College
248,29,62,27,10,3,4,0,4,4,0,Some_College
249,45,31,17,10,1,5,0,0,5,0,College
250,35,59,39,0,0,2,0,0,1,0,Some_College
251,17,123,34,10,1,5,0,4,4,0,College
252,16,3,34,3,1,4,0,6,6,0,Grammar
253,9,77,34,10,5,2,0,3,6,0,High_School
254,76,31,34,10,1,2,0,0,6,0,Some_College
255,31,6,13,3,5,7,0,5,5,1,Some_College
256,45,122,44,10,3,5,0,3,5,0,Masters
257,32,16,23,10,1,2,0,0,3,0,College
258,38,43,34,0,1,2,0,4,4,0,Some_College
259,33,43,26,0,1,3,0,3,6,0,Other
260,20,11,41,10,3,5,0,6,4,0,Masters
261,15,18,9,10,5,5,0,5,8,0,College
262,30,80,34,11,0,2,0,4,1,0,Special
263,53,59,34,10,1,4,0,0,5,0,Masters
264,40,61,39,0,3,2,0,0,4,0,Special
265,45,31,34,11,1,5,0,4,4,0,Masters
266,24,16,34,4,1,8,0,6,6,0,College
267,11,122,13,3,5,5,0,4,8,1,Some_College
268,14,108,34,10,5,5,0,5,6,0,College
269,25,124,34,10,5,8,0,1,1,0,College
270,19,16,34,0,5,2,0,5,6,0,Some_College
271,55,33,14,3,1,2,0,4,4,0,College
272,17,85,42,10,1,2,0,0,3,0,High_School
273,43,114,13,10,6,5,0,0,0,1,College
274,32,31,15,10,4,2,0,0,0,0,High_School
275,43,31,7,3,1,3,0,6,4,0,Some_College
276,15,88,13,10,1,7,0,4,0,1,Masters
277,27,85,34,0,5,4,0,0,3,0,College
278,13,41,17,3,5,5,0,4,2,1,College
279,61,6,39,0,6,2,0,0,0,0,Special
280,17,9,34,3,5,8,0,0,1,1,Some_College
281,76,71,39,0,0,2,0,4,6,0,Other
282,76,89,13,3,5,4,0,4,6,1,Some_College
283,34,92,36,3,1,2,0,4,4,0,Professional
284,39,114,34,0,6,2,0,0,2,0,Some_College
285,43,126,14,11,1,4,0,0,7,0,Special
286,23,41,34,10,1,5,0,3,6,0,Special
287,33,89,4,0,0,2,0,0,8,0,High_School
288,13,16,1,10,1,5,0,0,1,0,Some_College
289,33,9,34,10,1,2,0,2,6,0,Some_College
290,47,16,27,10,1,4,0,4,4,0,Masters
291,13,124,37,10,6,5,0,4,2,0,College
292,6,58,24,2,5,2,0,4,6,0,Grammar
293,13,113,27,4,5,5,0,4,2,0,Some_College
294,21,99,34,0,1,2,0,0,2,0,High_School
295,41,56,23,3,1,2,0,4,3,0,College
296,32,64,34,10,0,5,0,4,4,0,Special
297,30,6,17,10,1,5,0,4,4,0,College
298,7,76,24,0,5,4,1,0,6,0,High_School
299,62,62,34,0,1,2,0,0,4,0,Some_College
300,38,89,45,10,0,4,0,4,1,0,College
301,36,31,39,0,0,2,0,0,0,0,Some_College
302,42,37,34,10,1,4,0,4,5,0,High_School
303,9,89,13,10,5,5,0,0,0,0,Some_College
304,27,1,1,0,3,2,0,0,1,0,High_School
305,17,74,42,0,1,2,0,4,3,0,High_School
306,36,88,12,10,1,4,0,1,7,1,Doctoral
307,28,124,34,3,4,5,0,4,4,0,Masters
308,33,16,18,3,5,4,0,4,6,0,College
309,35,114,1,10,0,2,0,6,4,0,High_School
310,30,92,34,4,5,5,0,0,2,0,Some_College
311,21,20,34,10,1,7,0,4,3,1,Special
312,6,73,24,10,2,4,0,4,6,0,Grammar
313,14,68,34,0,5,2,0,5,6,0,Special
314,14,123,34,4,5,5,0,4,1,0,Special
315,14,43,34,0,5,2,0,4,2,0,High_School
316,27,122,13,10,1,4,0,4,7,1,Masters
317,4,33,24,11,5,7,0,0,6,0,Grammar
318,34,76,27,0,3,2,0,4,5,0,High_School
319,17,69,34,10,0,5,0,6,4,0,College
320,18,69,37,4,3,5,0,4,4,0,College
321,33,34,31,10,0,8,0,5,1,0,Masters
322,23,16,28,3,1,5,0,4,7,0,Masters
323,53,89,39,0,1,2,0,1,2,0,Masters
324,41,125,34,10,5,2,0,4,4,0,Doctoral
325,21,114,37,3,1,5,0,4,7,0,College
326,38,122,14,0,2,0,0,1,6,0,College
327,29,1,34,10,1,2,0,0,4,0,High_School
328,56,76,39,0,1,2,0,2,2,0,Special
329,13,33,42,10,5,2,0,0,0,0,Some_College
330,13,88,13,10,5,4,1,4,6,0,College
331,18,51,26,0,3,2,0,4,3,0,Some_College
332,18,69,34,10,5,5,0,4,1,0,Some_College
333,28,80,44,10,3,5,0,0,7,0,Some_College
334,14,61,31,10,1,8,0,4,2,0,Special
335,18,13,12,10,5,8,0,4,0,0,Professional
336,20,118,37,10,5,8,0,4,2,0,Some_College
337,14,123,34,3,2,4,0,0,0,0,College
338,46,76,5,0,1,2,0,4,6,0,Professional
339,25,76,8,10,1,5,0,4,5,0,Masters
340,56,31,39,0,1,2,0,0,2,0,College
341,32,69,17,10,1,4,0,0,5,0,College
342,15,113,35,0,3,2,0,4,1,0,Some_College
343,45,31,34,0,1,2,0,0,1,0,High_School
344,19,74,30,10,5,4,0,4,5,0,College
345,76,62,34,0,5,2,0,0,3,0,Some_College
346,17,1,45,3,5,2,0,0,1,0,College
347,33,73,6,3,1,5,0,4,7,0,Masters
348,6,76,24,0,5,2,1,0,6,0,Grammar
349,17,72,28,10,5,5,0,3,4,0,Masters
350,76,33,20,0,1,2,0,0,6,0,Doctoral
351,10,33,13,10,5,7,0,4,6,1,Some_College
352,8,9,26,10,2,2,1,4,6,0,High_School
353,31,61,5,10,1,3,0,0,6,0,Professional
354,28,59,34,3,1,5,0,1,7,0,Doctoral
355,20,89,37,3,1,5,0,3,2,0,Masters
356,24,98,34,10,1,4,0,4,4,0,Professional
357,8,125,13,3,1,2,0,3,6,0,High_School
358,20,43,43,3,1,4,0,0,2,0,Some_College
359,53,33,41,10,1,2,0,0,3,0,Some_College
360,20,92,34,10,5,5,0,4,4,0,College
361,15,88,21,10,5,4,0,4,1,0,Some_College
362,48,90,27,10,1,4,0,4,5,0,Some_College
363,49,31,12,11,1,4,0,3,6,1,Masters
364,14,126,15,10,5,4,1,5,4,0,College
365,40,92,41,0,5,2,0,4,3,0,College
366,44,14,34,10,0,2,0,7,3,0,Some_College
367,9,31,13,10,3,4,0,0,1,1,Some_College
368,76,123,41,0,1,2,0,0,2,0,Some_College
369,18,118,34,10,5,2,0,0,6,0,High_School
370,24,88,27,11,1,4,0,0,4,0,College
371,29,43,43,10,0,4,0,1,3,0,Special
372,59,114,3,0,1,2,0,0,5,0,Masters
373,16,76,27,0,5,2,0,0,2,0,Some_College
374,41,43,20,0,1,2,0,0,2,0,High_School
375,22,59,43,10,5,8,0,4,1,0,Some_College
376,44,20,34,3,1,4,0,0,3,0,Some_College
377,45,16,4,0,1,4,0,0,7,0,Some_College
378,23,19,27,8,1,5,0,6,1,0,Masters
379,16,9,41,10,1,2,0,0,4,0,College
380,35,31,34,0,3,2,0,4,2,0,Special
381,12,119,13,10,3,2,0,4,8,0,Some_College
382,56,89,22,10,0,2,0,6,4,0,Professional
383,28,16,27,10,5,5,0,4,5,0,Masters
384,50,16,12,3,1,5,0,6,5,0,Doctoral
385,19,16,20,10,1,2,0,4,4,0,College
386,63,60,39,0,1,2,0,4,3,0,College
387,18,33,27,3,5,5,0,0,3,0,Masters
388,20,114,34,0,3,2,0,3,1,0,High_School
389,27,88,34,10,1,2,0,4,7,0,College
390,17,16,27,10,5,8,0,1,3,0,College
391,27,64,34,0,3,2,0,0,3,0,College
392,23,126,27,0,1,2,0,0,2,0,High_School
393,10,62,13,10,5,4,0,4,8,1,Some_College
394,24,99,34,0,3,2,0,0,0,0,High_School
395,18,36,27,0,5,2,0,0,4,0,College
396,20,50,34,3,5,0,0,0,2,0,Some_College
397,33,104,34,3,1,5,0,3,1,0,Some_College
398,65,16,7,0,1,2,0,4,4,0,Some_College
399,32,76,5,0,5,4,0,2,4,0,Professional
400,27,32,44,3,0,5,0,0,5,0,Masters
401,76,61,34,10,2,5,0,0,6,0,Masters
402,41,105,8,10,1,5,0,0,7,0,Masters
403,39,56,34,3,1,2,0,4,1,0,Some_College
404,22,105,42,0,0,2,0,4,1,0,Some_College
405,25,41,34,3,1,5,0,0,4,0,College
406,19,92,34,0,5,2,0,1,8,0,High_School
407,13,114,1,10,1,8,0,0,0,0,Some_College
408,15,122,23,10,5,4,0,4,0,0,College
409,21,126,34,11,1,5,0,2,4,0,Masters
410,26,88,1,2,1,4,0,2,6,0,College
411,46,61,39,0,1,2,0,0,4,0,College
412,25,9,23,3,1,4,0,1,4,0,College
413,46,16,42,0,0,2,0,0,2,0,High_School
414,32,43,13,10,1,4,0,4,5,0,Masters
415,20,95,16,3,5,5,0,4,4,0,Some_College
416,63,31,39,0,1,2,0,2,3,0,College
417,53,59,17,0,5,2,0,0,6,0,College
418,35,62,20,0,1,2,0,0,4,0,Some_College
419,29,1,23,10,1,4,0,0,3,0,Masters
420,5,124,24,10,5,4,1,0,8,0,Grammar
421,55,16,39,0,0,2,0,4,2,0,Masters
422,37,95,12,3,1,4,0,0,5,1,Doctoral
423,16,76,34,4,1,5,0,4,7,0,College
424,25,76,10,0,5,2,0,4,2,0,Some_College
425,29,92,34,0,3,2,0,0,3,0,High_School
426,14,41,28,10,1,4,0,0,3,0,College
427,13,61,34,10,5,3,0,1,0,1,Some_College
428,14,52,27,0,1,2,0,0,3,0,Some_College
429,29,33,34,0,0,2,0,3,2,0,High_School
430,19,16,37,10,1,5,0,4,5,0,Masters
431,26,92,34,0,1,2,0,0,6,0,Some_College
432,10,76,13,10,5,4,1,3,6,0,Some_College
433,28,20,10,0,5,2,0,4,2,0,College
434,18,76,0,10,1,2,0,0,5,0,College
435,18,75,13,10,5,4,0,4,0,1,Masters
436,17,114,37,10,3,5,0,4,2,0,High_School
437,33,6,34,10,4,2,0,1,8,0,College
438,35,76,34,10,1,4,0,4,7,0,Some_College
439,8,89,21,10,5,4,0,4,7,0,High_School
440,35,114,34,10,1,2,0,4,3,0,High_School
441,33,6,7,0,0,4,0,0,7,0,Masters
442,11,118,13,11,5,7,0,1,6,1,Some_College
443,27,61,34,4,5,5,0,6,4,0,College
444,23,90,4,10,3,2,0,0,1,0,College
445,25,123,34,10,3,5,0,4,7,0,College
446,52,40,34,0,0,4,0,4,5,0,Masters
447,42,16,41,11,1,4,0,4,4,0,Some_College
448,11,76,13,10,5,4,0,4,6,1,Some_College
449,27,31,34,0,0,4,0,4,2,0,High_School
450,11,119,34,10,5,4,0,0,8,1,Some_College
451,33,114,17,11,1,5,0,3,4,0,Doctoral
452,76,16,27,0,0,2,0,0,1,0,High_School
453,16,88,34,10,5,4,0,4,7,0,High_School
454,27,59,27,10,1,4,0,0,4,0,Professional
455,39,16,17,3,1,5,0,4,5,0,Doctoral
456,15,9,27,10,3,8,0,5,4,0,College
457,9,69,13,4,5,2,0,4,8,1,High_School
458,69,31,39,0,1,2,0,7,3,0,High_School
459,16,76,13,10,5,5,0,1,8,1,College
460,27,122,27,10,1,5,0,6,7,0,Masters
461,32,20,8,10,1,5,0,4,6,0,College
462,16,85,34,0,5,2,0,4,2,0,College
463,28,122,19,0,5,2,0,4,8,0,High_School
464,8,126,13,10,5,5,0,0,8,1,Some_College
465,11,76,13,10,5,5,0,0,4,1,Some_College
466,28,41,32,3,1,2,0,4,6,0,College
467,22,16,34,3,1,2,0,4,3,0,College
468,14,92,21,3,5,5,0,4,7,0,College
469,22,31,34,10,0,4,0,0,3,0,Some_College
470,28,16,34,10,0,4,0,4,6,1,Some_College
471,13,122,13,10,5,7,0,4,8,1,Some_College
472,41,36,27,0,1,4,0,4,4,0,Masters
473,21,45,34,0,2,2,0,0,1,0,College
474,12,118,34,10,5,3,0,6,6,0,Other
475,27,122,34,10,1,2,0,4,4,0,Masters
476,24,33,6,3,1,5,0,4,4,0,College
477,48,31,34,10,1,2,0,0,3,0,Some_College
478,39,10,21,4,1,5,0,6,5,0,Doctoral
479,33,62,12,3,1,5,0,4,6,0,Masters
480,46,43,1,10,1,2,0,4,5,0,Some_College
481,43,123,34,10,1,5,0,4,7,0,Some_College
482,41,31,23,3,0,5,0,0,4,0,Professional
483,8,92,13,10,5,4,0,4,8,1,Some_College
484,9,77,34,5,5,4,0,0,6,0,Special
485,23,88,9,4,1,8,0,4,6,0,College
486,24,42,34,4,1,5,0,4,1,0,Professional
487,47,16,27,0,6,2,0,0,3,0,Some_College
488,14,16,13,10,5,4,0,0,0,1,College
489,19,69,34,4,3,8,0,0,2,0,Masters
490,42,80,1,10,1,2,0,0,2,0,High_School
491,20,33,33,0,3,2,0,4,3,0,Some_College
492,18,88,37,3,5,4,0,6,1,0,Masters
493,30,9,41,11,3,2,0,1,3,0,College
494,7,9,24,10,5,2,1,5,8,0,High_School
495,18,61,37,10,1,4,0,4,4,0,Masters
496,9,121,30,5,5,4,0,4,8,0,High_School
497,17,59,0,11,5,8,0,2,3,0,College
498,14,61,34,10,5,8,0,4,1,0,College
499,30,105,43,0,5,4,0,1,3,0,Special
500,74,16,39,0,5,2,0,0,0,0,Some_College
501,37,16,30,3,1,5,0,4,5,0,Masters
502,19,118,34,3,1,5,0,4,4,0,Some_College
503,32,88,41,10,1,5,0,2,7,0,Masters
504,45,16,34,0,5,2,0,0,3,0,College
505,31,6,1,10,5,4,0,0,1,0,College
506,18,61,9,10,5,8,0,6,7,0,College
507,64,75,39,0,0,2,0,0,0,0,Some_College
508,36,21,27,0,1,4,0,4,5,0,Masters
509,10,6,13,10,5,4,1,1,6,0,Some_College
510,15,7,34,10,5,2,0,4,2,0,College
511,14,114,17,10,1,4,0,4,4,0,College
512,19,9,34,10,3,2,0,0,1,0,Other
513,25,67,13,10,1,8,0,7,1,0,Masters
514,27,74,34,10,5,4,0,0,3,0,Some_College
515,16,118,13,3,5,7,0,4,8,1,Some_College
516,40,92,43,0,6,2,0,0,3,0,Some_College
517,76,16,44,3,1,2,0,0,7,0,College
518,35,74,42,10,3,2,0,4,3,0,Masters
519,27,106,34,0,1,4,0,4,3,0,Some_College
520,13,114,34,0,5,2,0,3,1,0,College
521,12,33,27,10,5,5,0,4,1,0,Some_College
522,54,25,43,10,1,2,0,0,2,0,High_School
523,7,16,24,3,5,4,1,5,5,0,High_School
524,65,60,39,0,1,2,0,4,1,0,High_School
525,25,123,37,10,1,4,0,4,0,0,Some_College
526,76,123,33,0,2,2,0,4,6,0,College
527,33,60,34,0,5,2,0,4,4,0,College
528,58,61,39,10,6,2,0,0,6,0,Masters
529,8,76,13,10,5,2,1,1,5,0,High_School
530,15,41,23,10,1,8,0,1,2,0,College
531,16,33,34,10,5,4,1,0,6,0,College
532,8,33,13,11,5,5,1,0,4,0,High_School
533,20,9,7,3,4,5,0,6,1,0,Some_College
