who,Years_on_Internet,Web_Ordering,Age,Not_Purchasing_Too_complicated,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Security,Not_Purchasing_Easier_locally
92675,6-12_mo,Yes,23,0,0,0,0,0
97423,Under_6_mo,No,36,0,0,1,1,0
94184,4-6_yr,Yes,20,0,0,0,0,0
92813,1-3_yr,Yes,0,0,0,0,1,0
97214,1-3_yr,No,20,1,0,1,1,1
91682,1-3_yr,Yes,48,0,0,0,0,0
95727,1-3_yr,No,69,0,0,1,1,0
90516,6-12_mo,No,45,0,1,1,1,0
96174,4-6_yr,Yes,28,0,0,0,0,0
91092,4-6_yr,Yes,30,0,0,0,0,0
97966,4-6_yr,Yes,23,0,0,1,0,1
91737,Under_6_mo,Yes,25,0,0,0,0,0
95734,1-3_yr,Yes,42,0,0,0,1,0
96096,1-3_yr,Yes,21,0,1,1,1,1
93607,6-12_mo,Yes,42,0,0,0,0,1
97596,1-3_yr,Yes,21,0,0,0,0,0
91336,Under_6_mo,No,28,0,0,0,0,0
93737,4-6_yr,Yes,23,0,0,0,0,0
96321,Under_6_mo,No,17,0,0,1,1,0
99751,6-12_mo,Yes,47,0,0,1,0,1
79509,Over_7_yr,Yes,43,0,0,0,0,0
97192,1-3_yr,Yes,20,0,0,0,0,0
99211,4-6_yr,Yes,44,0,0,1,1,1
98182,4-6_yr,Yes,38,0,0,1,1,0
95740,1-3_yr,No,26,0,0,0,0,0
98178,4-6_yr,No,49,1,0,0,0,0
60321,4-6_yr,Yes,38,0,0,0,0,0
94363,4-6_yr,Yes,50,0,1,1,0,1
99060,4-6_yr,Yes,49,0,0,0,0,0
99225,4-6_yr,Yes,37,0,0,1,1,0
95624,Under_6_mo,Yes,22,1,0,0,1,0
99754,Under_6_mo,No,5,0,0,0,0,0
90297,1-3_yr,No,34,0,0,1,1,0
90301,4-6_yr,Yes,42,0,0,0,0,0
99829,6-12_mo,No,57,0,0,0,0,0
76679,1-3_yr,Yes,27,0,0,1,1,0
93469,4-6_yr,Yes,30,0,0,0,0,1
90307,1-3_yr,Yes,68,0,1,0,0,1
99740,4-6_yr,Yes,23,0,0,0,0,0
90312,1-3_yr,Yes,41,0,0,0,0,0
90313,4-6_yr,Yes,25,1,0,0,0,1
90315,6-12_mo,Yes,33,1,0,1,1,0
66171,Over_7_yr,Yes,43,0,0,0,0,0
90935,6-12_mo,Yes,45,0,0,0,0,0
91209,1-3_yr,Yes,18,0,1,0,1,0
94781,4-6_yr,Yes,25,0,1,0,0,0
90320,1-3_yr,Yes,42,0,0,0,0,0
90323,6-12_mo,Yes,52,0,0,0,1,0
90324,Under_6_mo,Yes,34,1,0,0,0,0
94585,1-3_yr,Dont_know,15,0,0,0,0,0
98600,1-3_yr,Yes,53,0,0,0,0,0
99425,Under_6_mo,No,51,0,0,0,0,0
90333,1-3_yr,Yes,24,0,0,0,1,1
93816,4-6_yr,Yes,49,0,0,0,0,0
97034,Under_6_mo,Yes,41,0,0,1,1,0
92791,1-3_yr,Yes,16,0,1,0,1,0
96710,1-3_yr,Yes,26,0,1,1,1,0
90338,1-3_yr,Yes,34,0,0,1,1,1
90340,Over_7_yr,Yes,41,0,0,0,0,0
90345,Under_6_mo,No,36,0,0,0,0,0
90346,1-3_yr,Yes,22,0,0,0,0,0
81786,4-6_yr,No,43,0,0,0,0,0
92227,1-3_yr,Yes,44,0,1,0,1,0
90350,Under_6_mo,No,45,0,0,1,1,0
90351,1-3_yr,Yes,23,0,0,1,1,0
90353,1-3_yr,Yes,20,0,0,0,1,0
90354,Under_6_mo,Yes,54,0,0,0,0,0
90355,6-12_mo,Yes,31,1,1,0,0,0
62670,1-3_yr,Yes,56,0,0,0,0,0
90357,4-6_yr,Yes,18,0,0,0,0,0
90360,1-3_yr,No,42,0,0,0,0,1
90363,1-3_yr,Yes,36,0,1,0,0,0
91579,1-3_yr,Yes,17,0,0,0,0,0
91760,Over_7_yr,Yes,35,0,0,0,0,0
94402,4-6_yr,No,36,0,0,1,1,0
98201,1-3_yr,No,19,0,0,0,0,0
96530,4-6_yr,Yes,32,0,0,0,0,1
94043,4-6_yr,Yes,22,0,0,0,0,0
91100,1-3_yr,Yes,18,0,0,0,0,0
94208,4-6_yr,Yes,46,0,0,1,1,0
95603,Under_6_mo,No,33,0,0,0,0,0
96335,4-6_yr,Yes,46,1,0,1,1,1
99819,4-6_yr,Yes,38,0,0,1,1,0
91101,4-6_yr,Yes,53,0,0,0,0,0
91102,1-3_yr,Yes,36,0,0,0,0,0
94042,1-3_yr,No,24,0,0,0,0,0
94404,1-3_yr,Yes,50,0,0,1,1,0
95405,1-3_yr,No,47,0,0,0,1,1
63732,4-6_yr,No,33,0,0,1,1,1
98180,1-3_yr,No,37,0,0,1,1,0
91239,6-12_mo,Yes,56,0,0,1,1,0
91304,1-3_yr,No,15,0,1,1,1,0
95223,1-3_yr,Yes,34,0,0,0,0,0
95617,1-3_yr,Yes,17,0,1,0,0,0
81748,Over_7_yr,Yes,41,0,0,0,1,0
38761,Under_6_mo,No,15,0,0,0,1,0
90380,6-12_mo,No,22,0,0,0,0,0
90383,1-3_yr,No,37,0,0,1,1,0
90385,6-12_mo,No,44,0,0,0,0,0
98725,6-12_mo,No,64,0,0,0,0,1
95761,1-3_yr,Yes,40,0,0,0,0,0
71443,1-3_yr,Yes,42,0,0,0,0,0
90394,Under_6_mo,Yes,26,0,1,1,1,1
90395,1-3_yr,Yes,42,0,1,0,0,0
90398,Under_6_mo,No,52,0,0,0,1,0
90399,4-6_yr,No,25,0,0,0,1,1
38814,6-12_mo,No,0,0,0,1,0,0
90402,6-12_mo,Yes,5,0,0,0,0,0
90403,1-3_yr,No,19,0,1,1,1,0
90405,4-6_yr,Yes,40,0,0,0,0,0
90408,Under_6_mo,Yes,31,0,0,0,0,0
55113,Under_6_mo,No,34,0,0,1,1,0
90412,6-12_mo,No,30,0,0,1,1,0
90415,Under_6_mo,Yes,34,0,0,0,0,0
99395,Over_7_yr,Yes,36,1,0,0,0,0
90419,Under_6_mo,Yes,44,1,0,1,1,0
90422,Under_6_mo,No,0,0,0,1,1,0
90430,Under_6_mo,Yes,41,0,0,0,0,0
38855,Under_6_mo,Yes,21,0,0,0,0,0
90440,6-12_mo,Yes,41,0,1,0,0,1
5326,Under_6_mo,Yes,47,0,0,0,1,0
90441,Under_6_mo,Yes,46,0,0,1,1,0
93956,1-3_yr,No,19,0,0,0,0,0
90446,Under_6_mo,Yes,45,0,0,0,0,0
90447,6-12_mo,Yes,73,0,0,0,0,0
90449,6-12_mo,Yes,17,0,0,0,0,1
90451,Under_6_mo,Yes,53,0,1,1,1,1
90454,6-12_mo,Yes,30,0,0,0,1,0
91106,4-6_yr,Yes,39,0,0,0,0,0
91556,4-6_yr,Yes,50,0,0,0,0,0
91016,4-6_yr,No,42,0,0,0,0,0
90457,6-12_mo,No,32,0,0,0,0,0
14365,6-12_mo,Yes,50,0,0,0,0,0
17363,1-3_yr,No,41,0,0,0,1,0
90458,6-12_mo,No,46,0,0,1,1,0
90465,6-12_mo,Yes,48,0,0,0,0,0
90468,6-12_mo,Yes,40,1,0,0,0,0
90473,6-12_mo,Yes,50,0,0,0,0,1
94180,4-6_yr,Yes,27,0,0,1,1,0
98992,6-12_mo,Yes,51,0,0,1,1,1
98993,Over_7_yr,Yes,34,0,0,1,1,0
90478,1-3_yr,Yes,22,0,0,0,0,1
90479,4-6_yr,Yes,62,0,1,0,0,0
91372,4-6_yr,Yes,32,0,0,0,1,0
95267,6-12_mo,No,28,0,1,0,1,1
96597,Over_7_yr,Yes,27,0,0,0,0,0
93274,1-3_yr,Yes,31,0,0,0,0,0
93152,4-6_yr,Yes,50,0,0,0,0,0
90489,1-3_yr,Yes,49,0,0,1,1,0
90490,1-3_yr,No,26,0,0,1,1,0
90491,1-3_yr,No,42,0,0,0,0,1
90492,Under_6_mo,No,19,0,0,0,0,0
90493,6-12_mo,No,46,1,1,1,1,1
5394,6-12_mo,Yes,40,0,0,0,0,0
90497,1-3_yr,Yes,28,0,0,0,0,1
90498,Under_6_mo,No,60,0,0,1,1,0
90500,1-3_yr,Yes,52,0,0,0,1,0
90501,Under_6_mo,No,35,0,0,0,0,0
90507,6-12_mo,Yes,62,0,0,1,1,1
90509,Under_6_mo,No,48,0,0,0,1,0
13794,Under_6_mo,Yes,38,0,0,1,1,1
90514,Under_6_mo,Yes,53,0,0,0,1,0
38977,Under_6_mo,Yes,28,0,0,0,0,0
55216,6-12_mo,Yes,47,0,0,0,0,0
90518,Under_6_mo,No,0,0,0,0,0,0
90520,Under_6_mo,Yes,36,0,0,0,0,0
90521,6-12_mo,No,41,0,0,0,1,0
90522,6-12_mo,No,15,0,0,0,0,0
90524,6-12_mo,No,80,0,0,0,0,0
92280,1-3_yr,Yes,29,0,0,1,0,1
91465,6-12_mo,Yes,45,0,0,0,1,1
96287,6-12_mo,No,58,0,1,1,1,0
96742,1-3_yr,Yes,26,0,0,0,1,0
92585,4-6_yr,Yes,23,0,1,1,1,0
92971,1-3_yr,Yes,34,0,0,0,1,1
95750,Over_7_yr,Yes,35,0,0,0,0,0
96907,6-12_mo,Yes,32,0,0,0,0,1
94181,Under_6_mo,No,55,0,0,0,0,0
90557,1-3_yr,Yes,57,0,1,0,0,0
71699,4-6_yr,Yes,21,0,0,0,0,0
90564,1-3_yr,Yes,35,0,0,0,0,0
93195,4-6_yr,No,30,1,1,0,1,0
96533,4-6_yr,Yes,20,0,0,0,0,0
90567,Under_6_mo,Yes,31,1,1,0,0,0
90575,Under_6_mo,Yes,52,0,0,0,1,1
90576,1-3_yr,Yes,51,0,0,1,1,0
90578,4-6_yr,No,24,0,0,1,1,0
90582,6-12_mo,Yes,35,0,0,0,0,0
90583,1-3_yr,Yes,44,0,0,0,0,1
91109,1-3_yr,Yes,47,0,0,1,1,0
97535,4-6_yr,Yes,27,0,0,0,1,0
77475,4-6_yr,Yes,24,0,0,0,0,1
90439,6-12_mo,Yes,17,0,0,0,0,0
90589,1-3_yr,No,32,0,0,0,1,0
90591,Under_6_mo,No,41,0,0,1,1,0
98987,4-6_yr,Yes,26,0,0,0,0,1
90594,1-3_yr,Yes,39,0,0,1,0,0
90595,1-3_yr,No,54,0,0,0,1,0
90596,6-12_mo,Yes,45,0,0,0,1,0
90599,1-3_yr,No,27,0,0,1,1,0
97048,4-6_yr,Yes,26,0,0,0,0,0
99095,1-3_yr,Yes,19,0,0,1,1,0
71673,4-6_yr,Yes,0,0,0,0,0,0
90607,1-3_yr,Yes,41,0,0,0,0,0
90609,1-3_yr,Yes,54,0,0,0,1,0
90610,1-3_yr,Yes,42,0,1,1,1,0
96824,6-12_mo,No,48,0,0,0,1,0
93078,Over_7_yr,Yes,43,0,1,1,1,0
90611,Under_6_mo,Yes,30,1,0,0,0,1
95647,1-3_yr,No,25,0,0,0,0,0
92021,Over_7_yr,No,40,0,0,0,0,0
98072,6-12_mo,No,61,0,1,1,1,1
90617,Under_6_mo,Yes,5,0,0,0,0,0
90618,Under_6_mo,No,54,0,0,1,0,0
92473,4-6_yr,Yes,34,0,0,0,0,0
94417,4-6_yr,No,21,0,0,1,0,0
90619,4-6_yr,Yes,24,0,0,0,1,0
90620,6-12_mo,No,35,0,1,1,1,1
90621,6-12_mo,Yes,29,0,0,1,1,0
91660,1-3_yr,Yes,63,0,0,0,0,0
96194,Under_6_mo,Yes,27,0,0,0,0,0
96849,1-3_yr,Yes,52,0,1,0,0,1
92273,Under_6_mo,Yes,42,0,0,0,0,0
96912,1-3_yr,Yes,52,0,0,0,0,0
98348,1-3_yr,No,25,0,0,0,1,0
99292,4-6_yr,Yes,37,0,0,1,1,1
96915,4-6_yr,Yes,23,0,0,0,0,0
90427,Under_6_mo,Yes,69,0,0,0,0,0
98128,4-6_yr,Yes,27,0,0,0,1,0
96670,1-3_yr,Yes,0,0,0,0,0,0
99502,1-3_yr,Yes,0,0,1,1,1,0
94135,1-3_yr,Yes,44,0,0,0,0,0
90646,Under_6_mo,No,49,0,0,1,1,0
90647,Under_6_mo,No,52,0,0,1,1,0
98760,Under_6_mo,Yes,33,0,0,0,0,1
90648,Under_6_mo,Yes,43,0,0,0,0,0
97051,6-12_mo,Yes,23,0,1,1,0,0
90573,6-12_mo,Yes,43,0,0,1,1,0
94419,6-12_mo,No,56,0,0,0,1,1
97488,4-6_yr,Yes,23,0,0,0,0,0
90529,4-6_yr,No,16,1,1,1,1,1
90658,1-3_yr,Yes,23,0,0,0,0,0
90660,Under_6_mo,No,31,0,0,0,0,0
92844,6-12_mo,No,50,0,1,0,1,0
96329,1-3_yr,Yes,42,0,0,0,0,0
99607,4-6_yr,Yes,40,0,0,0,0,1
99202,1-3_yr,No,17,0,0,0,0,0
90664,Under_6_mo,Yes,7,0,0,0,0,0
90665,1-3_yr,Yes,48,0,1,1,1,1
90666,6-12_mo,Yes,46,1,0,1,0,0
90667,4-6_yr,Yes,51,0,1,0,0,1
96180,4-6_yr,Yes,19,0,1,0,0,1
90668,6-12_mo,Dont_know,37,0,0,0,0,0
90669,6-12_mo,No,27,0,0,0,0,0
90436,Over_7_yr,Yes,46,0,0,0,1,0
96920,4-6_yr,Yes,38,0,0,1,0,1
96921,1-3_yr,No,43,0,0,1,1,1
97886,6-12_mo,Yes,45,0,0,0,0,0
90674,4-6_yr,Yes,40,0,0,0,0,1
92974,Under_6_mo,No,31,0,0,0,0,0
98474,6-12_mo,Yes,16,0,0,1,1,0
90680,Under_6_mo,Yes,24,1,0,0,0,1
99234,1-3_yr,No,24,0,0,0,1,0
90682,6-12_mo,Yes,24,1,0,0,0,1
39899,1-3_yr,Yes,37,0,0,0,0,0
93478,Under_6_mo,No,14,0,0,0,0,0
94805,Under_6_mo,No,44,0,0,1,1,0
90685,4-6_yr,Yes,27,0,0,0,0,1
91517,Over_7_yr,Yes,28,0,0,0,0,1
96677,6-12_mo,Yes,43,0,1,0,1,0
98004,4-6_yr,Yes,33,0,0,1,1,1
93804,Under_6_mo,Yes,61,0,0,1,1,0
93806,Under_6_mo,Yes,50,1,0,1,1,0
60601,Over_7_yr,Yes,31,0,0,0,0,1
90688,Under_6_mo,Yes,48,0,0,0,0,0
94949,1-3_yr,No,39,0,1,1,1,0
90690,Under_6_mo,No,64,0,0,0,1,0
90692,6-12_mo,Yes,23,0,0,1,0,0
90693,1-3_yr,Yes,23,0,0,0,0,0
97046,4-6_yr,Yes,28,0,0,1,0,0
97955,4-6_yr,Yes,28,0,0,0,0,0
93822,1-3_yr,Yes,38,0,0,1,1,0
84356,4-6_yr,No,24,0,0,0,0,0
93823,1-3_yr,Yes,28,0,0,0,0,0
96936,6-12_mo,Yes,30,0,0,0,0,0
98138,4-6_yr,Yes,24,0,1,1,1,0
90695,6-12_mo,No,55,1,0,0,1,0
39210,1-3_yr,Yes,35,0,0,1,1,0
90696,Under_6_mo,No,64,0,0,0,0,0
91598,Under_6_mo,Yes,42,0,0,0,1,0
97965,6-12_mo,Yes,25,0,0,0,0,0
91185,1-3_yr,No,54,0,0,0,0,0
92938,4-6_yr,Yes,29,0,0,0,0,0
96371,6-12_mo,Yes,0,0,0,0,0,0
91189,1-3_yr,Yes,27,0,1,0,1,1
91780,4-6_yr,Yes,43,0,0,0,0,0
91190,1-3_yr,No,16,0,0,0,0,0
91461,4-6_yr,Yes,27,0,0,0,0,1
93828,Under_6_mo,Yes,0,0,0,0,1,0
97047,1-3_yr,No,20,0,0,0,0,0
92682,6-12_mo,No,18,0,1,1,1,0
95932,1-3_yr,Yes,41,0,0,0,0,0
91035,1-3_yr,No,38,0,0,0,0,0
94346,4-6_yr,Yes,30,0,0,0,0,1
95147,1-3_yr,No,34,0,1,0,0,1
92848,Under_6_mo,No,18,0,0,0,0,0
92754,1-3_yr,Yes,30,0,0,0,1,1
93833,1-3_yr,Yes,61,0,0,1,1,0
99359,Over_7_yr,Yes,30,0,1,1,1,0
90711,1-3_yr,No,25,0,0,1,1,0
90712,1-3_yr,Yes,57,0,0,0,0,0
90713,1-3_yr,Yes,58,0,1,1,0,1
90341,4-6_yr,Yes,24,0,0,0,0,0
90717,6-12_mo,No,5,0,0,1,1,0
91472,Under_6_mo,No,53,0,0,0,1,0
92029,1-3_yr,Yes,19,0,1,0,1,1
96292,Under_6_mo,Yes,0,0,0,0,0,0
91842,Under_6_mo,No,28,0,0,1,1,1
93834,Under_6_mo,No,34,0,0,0,0,1
98734,1-3_yr,Yes,39,0,0,0,0,0
95559,6-12_mo,No,67,0,0,1,1,0
90697,6-12_mo,No,26,0,0,0,0,1
90727,1-3_yr,Yes,50,0,0,1,1,0
90729,Under_6_mo,Yes,32,0,0,0,0,0
90731,Over_7_yr,No,53,0,0,1,1,1
90732,Under_6_mo,Yes,54,0,0,0,0,0
97124,1-3_yr,Yes,33,0,0,0,1,0
90733,Under_6_mo,Yes,26,0,0,0,0,0
91288,6-12_mo,Yes,45,0,0,0,0,0
93876,1-3_yr,Yes,22,0,0,0,0,0
90735,1-3_yr,Yes,64,1,0,0,1,1
84189,1-3_yr,Yes,38,0,1,0,0,1
90738,4-6_yr,Yes,59,0,0,0,0,0
90742,Under_6_mo,No,29,0,0,0,1,0
90743,6-12_mo,Yes,70,0,0,0,1,1
72017,4-6_yr,Yes,28,0,0,0,0,0
90745,Under_6_mo,No,30,0,0,0,0,0
99592,1-3_yr,Yes,37,0,0,0,0,0
99878,1-3_yr,Yes,27,0,0,0,0,1
90747,1-3_yr,Yes,37,0,0,0,0,0
90748,Under_6_mo,Yes,33,0,1,0,1,1
91006,1-3_yr,No,20,0,0,1,1,0
14484,Under_6_mo,No,34,0,0,0,1,0
90749,Under_6_mo,Yes,28,0,0,0,0,0
84367,Over_7_yr,Yes,30,0,0,1,1,0
96933,4-6_yr,Yes,43,0,0,0,0,0
97460,6-12_mo,Yes,72,0,0,0,0,1
90751,1-3_yr,Yes,42,0,0,0,0,0
90752,1-3_yr,No,37,1,0,0,0,1
90545,1-3_yr,Yes,0,0,0,1,1,0
98139,1-3_yr,Yes,50,0,0,1,1,0
93889,Over_7_yr,Yes,49,0,0,1,1,0
95516,Under_6_mo,Yes,32,0,0,0,0,1
98279,1-3_yr,Yes,35,0,0,0,0,0
90740,Under_6_mo,No,29,0,0,0,0,0
91113,6-12_mo,No,23,0,0,1,0,0
91409,4-6_yr,Yes,25,0,0,0,0,0
90758,4-6_yr,No,31,0,0,1,1,0
94117,Under_6_mo,No,36,0,0,1,1,1
93841,6-12_mo,Yes,55,0,0,0,0,0
91202,1-3_yr,Yes,35,0,1,0,0,0
90759,Under_6_mo,No,55,0,0,1,1,0
97054,4-6_yr,Yes,42,0,0,0,0,0
98044,1-3_yr,Yes,30,0,1,0,0,1
90554,Under_6_mo,Yes,70,0,0,0,1,0
98717,Under_6_mo,Yes,61,0,0,0,1,0
93262,6-12_mo,No,45,0,0,1,1,0
93518,1-3_yr,Yes,39,0,0,1,1,0
91363,4-6_yr,Yes,15,0,1,1,1,1
90344,1-3_yr,Yes,63,0,0,0,0,0
91115,4-6_yr,Yes,47,0,0,0,1,1
95123,Over_7_yr,Yes,26,0,0,0,0,0
95124,6-12_mo,Yes,35,0,0,0,0,0
96154,6-12_mo,Yes,39,0,0,0,0,0
97898,4-6_yr,Yes,24,0,0,1,1,0
92771,1-3_yr,Yes,23,0,0,1,1,0
99895,6-12_mo,No,24,0,0,0,1,0
91298,Under_6_mo,No,39,0,0,0,0,0
94975,4-6_yr,Yes,29,0,0,1,1,1
97884,Under_6_mo,Yes,36,0,0,1,1,0
94287,4-6_yr,Yes,20,0,1,1,1,1
98002,6-12_mo,Yes,38,0,0,1,1,1
99115,1-3_yr,Yes,28,0,0,1,1,1
99773,4-6_yr,Yes,28,0,0,0,1,0
91118,Over_7_yr,Yes,27,0,0,0,0,0
95217,4-6_yr,Yes,43,0,0,0,0,0
99782,1-3_yr,Yes,45,0,1,0,0,0
92009,1-3_yr,No,18,0,0,0,0,0
93562,Under_6_mo,Yes,45,0,0,1,1,0
97306,6-12_mo,No,43,0,0,0,0,1
98023,Under_6_mo,No,21,0,0,0,0,0
98635,1-3_yr,Yes,37,1,0,1,1,0
90339,1-3_yr,Yes,33,0,1,0,1,0
99881,1-3_yr,Yes,35,0,0,0,0,0
93849,1-3_yr,No,60,0,1,1,1,1
96095,Over_7_yr,Yes,51,0,0,0,0,1
96938,1-3_yr,Yes,21,0,0,0,0,1
96387,6-12_mo,No,37,0,0,1,1,0
93855,6-12_mo,Yes,21,0,1,1,1,1
92856,Over_7_yr,Yes,43,0,1,0,0,0
93265,Under_6_mo,No,0,0,1,1,1,0
93856,1-3_yr,Yes,26,0,0,0,0,1
23077,4-6_yr,Yes,37,0,0,0,0,0
93447,4-6_yr,Yes,49,0,0,1,1,0
97635,1-3_yr,Yes,25,0,0,0,1,0
89946,1-3_yr,No,19,0,0,0,1,0
92006,Under_6_mo,Yes,76,0,0,0,1,0
96300,4-6_yr,Yes,26,0,0,1,1,0
98385,Over_7_yr,Yes,37,0,0,0,0,1
92793,1-3_yr,No,42,0,0,1,1,0
99938,6-12_mo,No,26,0,0,0,1,0
99252,6-12_mo,Yes,38,0,0,0,1,0
90762,1-3_yr,No,18,0,0,0,1,0
95138,4-6_yr,Yes,21,0,0,0,1,0
92597,4-6_yr,Dont_know,38,0,0,1,0,0
96302,1-3_yr,Yes,32,0,1,1,1,1
97466,Over_7_yr,Yes,24,0,1,0,0,0
90548,1-3_yr,Yes,32,0,0,1,0,0
94289,1-3_yr,No,38,0,0,0,1,0
93977,1-3_yr,Yes,23,0,0,0,0,0
96956,Under_6_mo,Yes,50,0,0,1,1,0
94616,Under_6_mo,No,31,0,0,1,1,0
91689,1-3_yr,Yes,22,0,1,1,1,0
65969,Over_7_yr,Yes,37,0,0,0,0,1
99684,4-6_yr,Yes,34,0,0,1,0,0
91206,1-3_yr,Yes,57,0,0,1,0,1
94329,4-6_yr,Yes,49,1,0,0,0,1
99953,Over_7_yr,Yes,43,0,0,0,1,0
97495,1-3_yr,Yes,55,0,0,0,0,0
93860,1-3_yr,Yes,52,0,0,1,1,0
96304,1-3_yr,Yes,50,0,0,0,1,0
96958,1-3_yr,Yes,18,0,0,1,1,0
90741,1-3_yr,Yes,19,0,0,0,1,0
97275,4-6_yr,No,33,1,1,0,1,1
92863,1-3_yr,Yes,34,0,0,0,0,1
93951,Under_6_mo,Yes,56,0,0,0,1,0
97571,Over_7_yr,No,24,0,0,1,1,0
92829,1-3_yr,Yes,29,0,1,0,1,1
97091,1-3_yr,Yes,51,0,0,0,0,0
93014,6-12_mo,Yes,30,0,0,1,0,0
96155,4-6_yr,Yes,28,0,1,0,0,0
96940,6-12_mo,Yes,40,0,0,0,1,0
92866,6-12_mo,No,17,1,0,0,0,1
97509,1-3_yr,Yes,28,0,0,0,0,0
99954,4-6_yr,Yes,19,0,0,0,0,0
94349,1-3_yr,No,27,0,0,1,1,0
95429,4-6_yr,No,24,0,0,1,1,1
93817,6-12_mo,No,40,0,0,0,0,1
94240,6-12_mo,Yes,80,0,0,0,0,1
62196,1-3_yr,Yes,47,0,0,1,1,0
90310,1-3_yr,Yes,29,0,0,0,0,0
91977,4-6_yr,Yes,42,0,0,1,1,0
92177,Under_6_mo,No,54,0,0,1,1,0
90542,1-3_yr,No,41,0,0,0,0,0
96127,4-6_yr,Yes,28,0,0,0,0,0
97639,6-12_mo,No,71,0,0,1,1,0
95034,4-6_yr,Yes,46,0,0,1,0,0
99207,1-3_yr,No,20,0,1,0,0,1
99436,6-12_mo,No,25,0,0,0,1,0
99116,4-6_yr,Yes,24,0,0,0,0,0
99769,1-3_yr,Yes,29,1,0,0,0,1
99498,4-6_yr,Yes,35,0,0,0,0,0
99823,1-3_yr,No,37,1,1,0,0,0
98127,1-3_yr,Yes,26,0,0,0,0,0
95971,6-12_mo,Yes,5,0,0,0,1,0
99054,1-3_yr,Yes,0,0,0,0,0,0
99893,1-3_yr,Yes,45,0,0,0,0,0
95414,Under_6_mo,Yes,37,0,1,1,1,0
97569,4-6_yr,Yes,23,0,0,1,1,0
90980,1-3_yr,Yes,22,0,1,1,1,1
98016,1-3_yr,Yes,62,0,0,0,0,0
91210,4-6_yr,Yes,17,0,0,1,1,0
92514,6-12_mo,Yes,72,0,0,1,1,0
94080,1-3_yr,Yes,35,0,0,0,0,0
96959,6-12_mo,Yes,0,0,0,0,0,0
93380,6-12_mo,Yes,43,0,0,0,0,0
90883,6-12_mo,Yes,66,0,0,0,0,0
98416,Under_6_mo,No,18,0,0,1,1,0
91213,Under_6_mo,No,25,0,1,1,1,1
99905,1-3_yr,Yes,26,0,0,0,1,0
91744,Under_6_mo,No,18,0,0,1,0,1
95462,1-3_yr,Yes,30,0,0,0,0,0
91599,Under_6_mo,Yes,62,0,0,0,0,1
97132,1-3_yr,Yes,45,0,0,1,1,0
91481,6-12_mo,Yes,47,0,0,0,1,0
